test_no,dr1_period,dr_threshold,cost_per_review,rework_load_factor,decay,uncertainty_threshold,maturity_threshold,steps,total_experiments,technical_failures,operational_failures,total_gain,rework_count,integration_days,market_complaints,dr_cost,completed_jobs
TestNo_073,28,0.4740446828515632,216.60665353722825,0.6496328855902673,0.7195765591656792,0.2559691578903979,0.8578841821707462,1500,24,14,2,4.171220993137241,0,0,0,12779.792558696468,3
TestNo_074,27,0.2067307580694844,156.5974736923563,0.8636885326289254,0.6928537270125638,0.3075102896997195,0.6762146592493513,1500,24,7,1,5.520815247999277,0,0,0,9239.250947849021,3
TestNo_075,9,0.5533711862862769,299.41258459386836,0.3984686637574742,0.5245351514952259,0.2989193321438637,0.6846636723045662,1500,24,10,4,4.9457288708855405,0,0,0,20360.05575238305,3
TestNo_076,26,0.4857749676439086,66.16638596264266,0.6726751794544974,0.6058964979318873,0.36725547940018255,0.8827553770531865,1500,24,14,1,4.090587118326124,0,0,0,3903.8167717959172,3
TestNo_077,11,0.4922550678387766,199.04069947766936,0.836004985096565,0.5773866808295943,0.3262046711122786,0.8331372371467349,1500,24,12,2,4.587791610131584,0,0,0,11544.360569704822,3
TestNo_078,16,0.34862274009478167,60.109707803165335,0.835676013852396,0.9492364200802812,0.25444613745760963,0.5481531859098479,1500,24,12,3,4.855875353462475,0,0,0,3546.472760386755,3
TestNo_079,16,0.23573033151049547,122.91469262523425,0.373953371970529,0.8625937246443531,0.20277269437432346,0.625002182794081,1500,24,12,0,6.1082692772144105,0,0,0,7251.966864888822,3
TestNo_080,15,0.10479282007219728,120.96153708653414,0.3715797483610875,0.5462638527811343,0.22324618704072485,0.737303788070151,1500,24,10,1,5.478900955318743,0,0,0,7136.730688105516,3
TestNo_081,26,0.10770747922420384,76.80895044238088,0.35554564023125923,0.8206721079146297,0.22087453506307372,0.6985457489865228,1500,24,12,2,4.822480928047683,0,0,0,4531.728076100471,3
TestNo_082,28,0.5934053408993779,61.227374127182884,0.3902075248390599,0.6905858415354602,0.2559000429033222,0.6455521574507533,1500,24,13,2,4.191941932756781,0,0,0,3612.41507350379,3
TestNo_083,26,0.32606952756122376,180.92358306117205,0.889468414228245,0.5269906724861824,0.3463872919372246,0.8096246827784465,1500,24,14,1,4.821165464472756,0,0,0,10674.491400609151,3
TestNo_084,21,0.5972525521102794,53.002290771066036,0.6245518879723793,0.7581499688970543,0.4742626369042436,0.702402133906775,1500,24,7,3,6.516269642630642,0,0,0,3127.135155492896,3
TestNo_085,11,0.30777976606165824,146.08475698963193,0.7430349821616345,0.8483970011748614,0.382108596315364,0.509074736872979,1500,24,9,2,5.388319445175696,0,0,0,8472.915905398651,3
TestNo_086,10,0.3227027142889174,138.77369159079745,0.5973968064210531,0.8916480655493424,0.4327584315975955,0.5335958005556636,1500,24,10,5,4.745564578161146,0,0,0,8048.87411226625,3
TestNo_087,27,0.19341720314729152,204.91603790492718,0.850417191039166,0.7086792811690943,0.2310630715858352,0.68312546003385,1500,24,10,5,4.733763413419953,0,0,0,12090.046236390703,3
TestNo_088,14,0.4459962610283722,238.23714991577768,0.3908892678179749,0.680265210793915,0.3448452483051233,0.6422749559577497,1500,24,10,2,4.601451743403211,0,0,0,14055.991845030883,3
TestNo_089,21,0.4541794680193306,215.096610067836,0.3685768086854301,0.6309854966190408,0.23885798297010571,0.8371889608194253,1500,24,9,2,5.522546105749148,0,0,0,12690.699994002325,3
TestNo_090,11,0.4159910464916531,203.9474497450311,0.6304594358232918,0.6127256411131728,0.3113359073656196,0.5386758865350972,1500,24,9,1,5.098341882993157,0,0,0,11828.952085211804,3
TestNo_091,12,0.5387991865807095,159.01230515547275,0.4642787948411473,0.7652022700777465,0.24263208794977473,0.6037566429683423,1500,24,13,1,5.58313469719188,0,0,0,9381.726004172891,3
TestNo_092,22,0.21808599124143865,144.2484573026137,0.604027058359679,0.7376630257731891,0.4666183185655144,0.6522264531788865,1500,24,13,2,4.026042452258722,0,0,0,8510.658980854208,3
TestNo_093,21,0.292927688360868,134.91960943230634,0.6806880439040881,0.7659779351220452,0.2880583862503849,0.5597393801277893,1500,24,13,2,4.579552528759789,0,0,0,7960.256956506074,3
TestNo_094,7,0.31588376909927895,145.56397866410117,0.6885470944841154,0.9348243133538281,0.35311262198865867,0.8947507387766882,1500,24,16,0,5.448125869510733,0,0,0,9898.350549158878,3
TestNo_095,21,0.21470933825785668,89.43007927081243,0.6765748205538319,0.9053766411270455,0.41550806567431453,0.639418660641351,1500,24,13,3,3.7261733624090505,0,0,0,5276.374676977934,3
TestNo_096,7,0.5276738343418114,276.56684932245753,0.8102713640173551,0.871084160595101,0.42348955953826795,0.7533728125127841,1500,24,9,1,5.152186932002179,0,0,0,18806.545753927116,3
TestNo_097,17,0.2905716576464893,283.2030037425642,0.7290988407230626,0.9177104058971339,0.4390924336687439,0.7437189757165658,1500,24,13,3,4.679982879477804,0,0,0,16708.97722081129,3
TestNo_098,26,0.58764976932494,210.5033961688103,0.5769173751240311,0.6373689357233461,0.2666954627642679,0.5851703801930405,1500,24,15,0,5.396040778004633,0,0,0,12419.700373959808,3
TestNo_099,29,0.46354636461211807,298.21469379615746,0.690630670186768,0.5978571546217527,0.2611458481149534,0.6298257137021905,1500,24,14,1,5.327811115708761,0,0,0,17594.66693397329,3
TestNo_100,21,0.4085382650031132,188.3724826251085,0.35307344441132194,0.8282767218932225,0.38061486306480524,0.7645907075425149,1500,24,9,2,5.53973784223656,0,0,0,11113.976474881398,3
